user_id,command,usage_count,last_used
477118743,/me,10,2025-06-15 18:15:40
477118743,/help,28,2025-06-25 20:20:11
477118743,/roll,48,2025-06-25 20:20:08
477118743,/start,7,2025-06-25 19:49:11
477118743,/about,6,2025-06-25 19:50:29
477118743,Пользователь запросил погоду,2,2025-06-15 18:21:49
477118743,Пользователь запросил котика,3,2025-06-15 18:21:47
477118743,User requested a cat,1,2025-06-25 19:28:58
477118743,Processing voice message,2,2025-06-25 19:46:48
477118743,Обработка голосового сообщения,3,2025-06-25 20:55:27
